# File: RadBeltTest/ephem_sat2.dat
#
# Ephemeris generated from specified elements
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in km
# Data Delimiter:           space
#
# datetime(mjd),posx(km),posy(km),posz(km)
57023.00000000 6671.200000 -0.000000 0.000000
57023.00347222 6281.650299 3072.940442 0.000000
57023.00694444 5243.437850 5842.872994 0.000000
57023.01041667 3810.188606 8191.891675 0.000000
57023.01388889 2184.133646 10145.433333 0.000000
57023.01736111 483.378580 11772.886239 0.000000
57023.02083333 -1230.428553 13141.026552 0.000000
57023.02430556 -2926.317989 14303.105877 0.000000
57023.02777778 -4589.153875 15299.510768 0.000000
57023.03125000 -6211.969007 16160.666268 0.000000
57023.03472222 -7792.061243 16909.697947 0.000000
57023.03819444 -9328.973685 17564.436413 0.000000
57023.04166667 -10823.424927 18138.846417 0.000000
57023.04513889 -12276.729949 18644.033894 0.000000
57023.04861111 -13690.481346 19088.958912 0.000000
57023.05208333 -15066.372464 19480.946222 0.000000
57023.05555556 -16406.099534 19826.055981 0.000000
57023.05902778 -17711.308701 20129.356935 0.000000
57023.06250000 -18983.568758 20395.130614 0.000000
57023.06597222 -20224.358818 20627.026108 0.000000
57023.06944444 -21435.064519 20828.178895 0.000000
57023.07291667 -22616.979098 21001.303188 0.000000
57023.07638889 -23771.307154 21148.764520 0.000000
57023.07986111 -24899.169726 21272.637388 0.000000
57023.08333333 -26001.609983 21374.751482 0.000000
57023.08680556 -27079.598994 21456.729097 0.000000
57023.09027778 -28134.041390 21520.015657 0.000000
57023.09375000 -29165.780703 21565.904823 0.000000
57023.09722222 -30175.604379 21595.559288 0.000000
57023.10069444 -31164.248387 21610.028125 0.000000
57023.10416667 -32132.401444 21610.261339 0.000000
57023.10763889 -33080.708887 21597.122168 0.000000
57023.11111111 -34009.776174 21571.397508 0.000000
57023.11458333 -34920.172086 21533.806829 0.000000
57023.11805556 -35812.431614 21485.009805 0.000000
57023.12152778 -36687.058596 21425.612902 0.000000
57023.12500000 -37544.528093 21356.175073 0.000000
57023.12847222 -38385.288567 21277.212704 0.000000
57023.13194444 -39209.763844 21189.203936 0.000000
57023.13541667 -40018.354905 21092.592446 0.000000
57023.13888889 -40811.441522 20987.790769 0.000000
57023.14236111 -41589.383741 20875.183226 0.000000
57023.14583333 -42352.523249 20755.128517 0.000000
57023.14930556 -43101.184607 20627.962019 0.000000
57023.15277778 -43835.676394 20493.997831 0.000000
57023.15625000 -44556.292245 20353.530601 0.000000
57023.15972222 -45263.311810 20206.837153 0.000000
57023.16319444 -45957.001634 20054.177955 0.000000
57023.16666667 -46637.615960 19895.798434 0.000000
57023.17013889 -47305.397486 19731.930159 0.000000
57023.17361111 -47960.578037 19562.791915 0.000000
57023.17708333 -48603.379217 19388.590671 0.000000
57023.18055556 -49234.012982 19209.522457 0.000000
57023.18402778 -49852.682197 19025.773162 0.000000
57023.18750000 -50459.581128 18837.519262 0.000000
57023.19097222 -51054.895918 18644.928484 0.000000
57023.19444444 -51638.805022 18448.160405 0.000000
57023.19791667 -52211.479604 18247.367015 0.000000
57023.20138889 -52773.083926 18042.693218 0.000000
57023.20486111 -53323.775682 17834.277300 0.000000
57023.20833333 -53863.706345 17622.251359 0.000000
57023.21180556 -54393.021456 17406.741697 0.000000
57023.21527778 -54911.860920 17187.869186 0.000000
57023.21875000 -55420.359268 16965.749605 0.000000
57023.22222222 -55918.645911 16740.493948 0.000000
57023.22569444 -56406.845373 16512.208713 0.000000
57023.22916667 -56885.077509 16280.996171 0.000000
57023.23263889 -57353.457717 16046.954610 0.000000
57023.23611111 -57812.097125 15810.178568 0.000000
57023.23958333 -58261.102780 15570.759044 0.000000
57023.24305556 -58700.577813 15328.783703 0.000000
57023.24652778 -59130.621610 15084.337057 0.000000
57023.25000000 -59551.329951 14837.500640 0.000000
57023.25347222 -59962.795166 14588.353173 0.000000
57023.25694444 -60365.106265 14336.970711 0.000000
57023.26041667 -60758.349063 14083.426791 0.000000
57023.26388889 -61142.606304 13827.792562 0.000000
57023.26736111 -61517.957775 13570.136910 0.000000
57023.27083333 -61884.480414 13310.526579 0.000000
57023.27430556 -62242.248405 13049.026276 0.000000
57023.27777778 -62591.333287 12785.698782 0.000000
57023.28125000 -62931.804032 12520.605046 0.000000
57023.28472222 -63263.727142 12253.804276 0.000000
57023.28819444 -63587.166723 11985.354030 0.000000
57023.29166667 -63902.184564 11715.310300 0.000000
57023.29513889 -64208.840217 11443.727583 0.000000
57023.29861111 -64507.191056 11170.658962 0.000000
57023.30208333 -64797.292350 10896.156174 0.000000
57023.30555556 -65079.197324 10620.269675 0.000000
57023.30902778 -65352.957219 10343.048702 0.000000
57023.31250000 -65618.621344 10064.541339 0.000000
57023.31597222 -65876.237137 9784.794567 0.000000
57023.31944444 -66125.850209 9503.854322 0.000000
57023.32291667 -66367.504392 9221.765547 0.000000
57023.32638889 -66601.241791 8938.572238 0.000000
57023.32986111 -66827.102821 8654.317497 0.000000
57023.33333333 -67045.126249 8369.043570 0.000000
57023.33680556 -67255.349234 8082.791896 0.000000
57023.34027778 -67457.807365 7795.603145 0.000000
57023.34375000 -67652.534692 7507.517259 0.000000
57023.34722222 -67839.563762 7218.573488 0.000000
57023.35069444 -68018.925651 6928.810429 0.000000
57023.35416667 -68190.649989 6638.266060 0.000000
57023.35763889 -68354.764993 6346.977774 0.000000
57023.36111111 -68511.297488 6054.982411 0.000000
57023.36458333 -68660.272936 5762.316290 0.000000
