"Time (UTCG)","x (km)","y (km)","z (km)"
7 Jan 2027 01:53:17.182,-20087.906954,-15066.205854,-7687.217621
7 Jan 2027 01:59:57.813,-18554.535744,-15135.244062,-7721.222108
7 Jan 2027 02:06:03.396,-17090.332223,-15145.282603,-7725.228620
7 Jan 2027 02:11:37.045,-15697.368603,-15104.271683,-7703.287514
7 Jan 2027 02:16:45.132,-14361.030553,-15018.223120,-7658.449319
7 Jan 2027 02:21:36.853,-13049.599654,-14888.542870,-7591.405691
7 Jan 2027 02:26:12.844,-11766.166333,-14717.104127,-7503.112544
7 Jan 2027 02:30:33.874,-10512.932908,-14505.693550,-7394.481011
7 Jan 2027 02:34:40.776,-9291.465731,-14255.942842,-7266.342783
7 Jan 2027 02:38:34.444,-8102.675279,-13969.234827,-7119.402233
7 Jan 2027 02:42:15.829,-6946.813616,-13646.597206,-6954.182290
7 Jan 2027 02:45:45.964,-5823.331905,-13288.528670,-6770.935727
7 Jan 2027 02:49:05.994,-4730.713184,-12894.750000,-6569.518210
7 Jan 2027 02:52:14.376,-3682.207318,-12470.663489,-6352.690686
7 Jan 2027 02:55:10.220,-2688.005146,-12022.343020,-6123.554026
7 Jan 2027 02:57:51.243,-1766.444512,-11561.988527,-5888.336307
7 Jan 2027 03:00:01.724,-1013.631184,-11150.150035,-5677.957081
7 Jan 2027 03:01:57.524,-342.578273,-10752.701213,-5474.966013
7 Jan 2027 03:03:34.063,217.709936,-10396.485373,-5293.061420
7 Jan 2027 03:05:10.676,777.894560,-10015.648475,-5098.609243
7 Jan 2027 03:06:38.315,1284.317756,-9647.682923,-4910.751437
7 Jan 2027 03:08:16.806,1849.723095,-9206.872107,-4685.729898
7 Jan 2027 03:09:57.576,2421.741484,-8723.966534,-4439.249491
7 Jan 2027 03:11:38.395,2984.413673,-8206.360448,-4175.088174
7 Jan 2027 03:13:15.763,3515.151589,-7671.695290,-3902.250844
7 Jan 2027 03:14:47.351,3999.320624,-7135.888646,-3628.859140
7 Jan 2027 03:16:13.762,4439.040383,-6599.884715,-3355.392981
7 Jan 2027 03:17:35.727,4837.179146,-6063.273724,-3081.641985
7 Jan 2027 03:18:48.397,5171.628750,-5564.185517,-2827.054761
7 Jan 2027 03:19:48.397,5432.561477,-5135.401519,-2608.346431
7 Jan 2027 03:21:01.305,5728.513301,-4594.047822,-2332.241754
7 Jan 2027 03:22:12.415,5991.812733,-4045.152831,-2052.316009
7 Jan 2027 03:23:22.280,6222.965069,-3486.782321,-1767.584991
7 Jan 2027 03:24:30.622,6419.713713,-2923.677017,-1480.468750
7 Jan 2027 03:25:36.687,6579.697700,-2365.154708,-1195.720239
7 Jan 2027 03:26:40.734,6704.275274,-1812.342464,-913.915521
7 Jan 2027 03:27:43.081,6794.979902,-1265.593057,-635.235939
7 Jan 2027 03:28:44.102,6853.310569,-724.478636,-359.465083
7 Jan 2027 03:29:44.210,6880.527415,-187.958725,-86.074614
7 Jan 2027 03:30:43.826,6877.514548,345.282567,185.603721
7 Jan 2027 03:31:39.917,6847.444338,845.930531,440.635695
7 Jan 2027 03:32:36.614,6790.610230,1348.974741,696.845885
7 Jan 2027 03:33:35.025,6705.011429,1862.111195,958.149455
7 Jan 2027 03:34:35.985,6587.576757,2390.111791,1226.969743
7 Jan 2027 03:35:39.678,6435.870293,2931.568656,1502.582256
7 Jan 2027 03:36:45.525,6249.998700,3478.466312,1780.900288
7 Jan 2027 03:37:53.876,6028.426016,4030.620818,2061.824688
7 Jan 2027 03:39:05.006,5769.897386,4586.987562,2344.818468
7 Jan 2027 03:40:18.148,5477.661551,5138.629828,2625.332389
7 Jan 2027 03:41:30.530,5165.394701,5663.498738,2892.157481
7 Jan 2027 03:42:43.778,4829.189601,6173.116694,3151.156917
7 Jan 2027 03:43:48.397,4518.060860,6604.797850,3370.488768
7 Jan 2027 03:44:48.397,4218.748712,6990.705651,3566.516684
7 Jan 2027 03:46:20.233,3744.445579,7554.038397,3852.587193
7 Jan 2027 03:47:43.387,3301.198260,8036.582684,4097.549660
7 Jan 2027 03:49:11.032,2822.910779,8518.166987,4341.945114
7 Jan 2027 03:50:43.379,2309.531610,8997.134918,4584.929534
7 Jan 2027 03:52:21.000,1759.159766,9473.573371,4826.543448
7 Jan 2027 03:54:02.184,1183.052267,9937.073979,5061.507335
7 Jan 2027 03:55:44.708,595.794839,10377.385447,5284.629025
7 Jan 2027 03:57:27.050,7.976998,10789.553620,5493.407213
7 Jan 2027 03:58:27.995,-342.177669,11022.820129,5611.527628
7 Jan 2027 03:59:28.772,-691.103891,11246.863457,5724.950644
7 Jan 2027 04:01:07.169,-1254.854357,11592.347506,5899.798813
7 Jan 2027 04:02:57.645,-1885.205112,11956.406442,6083.970578
7 Jan 2027 04:05:01.630,-2588.224963,12337.188398,6276.509844
7 Jan 2027 04:07:17.961,-3354.686664,12724.698896,6472.343984
7 Jan 2027 04:09:46.655,-4181.669794,13113.330290,6668.622449
7 Jan 2027 04:12:28.038,-5067.573564,13498.627494,6863.079276
7 Jan 2027 04:15:22.665,-6011.637220,13876.833721,7053.802615
7 Jan 2027 04:18:31.265,-7013.594113,14244.585967,7239.080284
7 Jan 2027 04:21:54.696,-8073.382952,14598.703207,7417.292443
7 Jan 2027 04:25:33.947,-9191.108124,14936.105389,7586.870400
7 Jan 2027 04:29:29.441,-10363.550283,15252.862738,7745.819480
7 Jan 2027 04:33:40.663,-11582.763006,15544.359557,7891.805322
7 Jan 2027 04:37:33.242,-12683.156577,15776.039395,8007.565122
7 Jan 2027 04:41:08.706,-13678.903638,15961.137337,8099.811759
7 Jan 2027 04:46:03.216,-15004.260496,16172.742705,8204.886935
7 Jan 2027 04:51:15.291,-16365.282459,16350.200583,8292.496600
7 Jan 2027 04:56:45.804,-17760.071278,16491.533706,8361.637928
7 Jan 2027 05:02:35.978,-19187.797447,16594.809200,8411.328508
7 Jan 2027 05:08:47.043,-20647.123767,16657.906224,8440.491216
7 Jan 2027 05:15:20.250,-22136.249313,16678.552590,8447.972784
7 Jan 2027 05:22:16.799,-23652.634421,16654.358118,8432.561345
7 Jan 2027 05:29:38.304,-25194.625056,16582.776123,8392.963518
7 Jan 2027 05:37:38.350,-26798.907692,16457.377960,8325.830755
7 Jan 2027 05:46:20.166,-28461.761732,16271.344759,8227.698127
7 Jan 2027 05:55:40.835,-30159.345441,16020.552806,8096.514340
7 Jan 2027 06:05:38.371,-31872.385605,15702.197649,7930.890683
7 Jan 2027 06:16:15.017,-33594.152269,15312.081351,7728.703209
7 Jan 2027 06:27:32.980,-35316.518182,14846.007179,7487.831439
7 Jan 2027 06:39:34.504,-37030.109635,14299.796535,7206.166682
7 Jan 2027 06:52:21.858,-38724.191905,13669.348220,6881.642451
7 Jan 2027 07:05:57.302,-40386.508021,12950.726128,6512.279450
7 Jan 2027 07:20:23.097,-42003.211892,12140.220725,6096.217028
7 Jan 2027 07:35:41.438,-43558.644850,11234.490882,5631.785859
7 Jan 2027 07:51:54.443,-45035.235649,10230.673501,5117.563989
7 Jan 2027 08:09:04.135,-46413.372106,9126.512148,4552.442598
7 Jan 2027 08:27:12.453,-47671.284861,7920.470068,3935.683801
7 Jan 2027 08:46:21.383,-48784.976336,6611.722069,3266.916666
7 Jan 2027 09:06:33.240,-49728.039414,5199.979872,2546.048645
7 Jan 2027 09:27:51.779,-50471.447336,3684.351194,1772.685001
7 Jan 2027 09:50:17.554,-50980.231756,2069.154019,949.096566
7 Jan 2027 10:13:08.450,-51213.603706,412.282657,104.850101
7 Jan 2027 10:36:28.395,-51157.006394,-1282.002422,-757.854615
7 Jan 2027 10:58:03.530,-50839.028127,-2842.986053,-1552.138665
7 Jan 2027 11:19:47.457,-50258.981911,-4399.980755,-2343.853270
7 Jan 2027 11:41:51.672,-49399.117550,-5957.396640,-3135.207590
7 Jan 2027 12:03:01.341,-48312.927771,-7419.147857,-3877.379113
7 Jan 2027 12:23:09.025,-47035.343905,-8772.059571,-4563.730014
7 Jan 2027 12:42:15.709,-45594.334987,-10014.169184,-5193.318074
7 Jan 2027 13:00:21.689,-44016.978452,-11143.861714,-5765.376295
7 Jan 2027 13:17:27.509,-42328.821585,-12160.834477,-6279.802852
7 Jan 2027 13:33:34.155,-40553.527682,-13066.164307,-6737.194594
7 Jan 2027 13:48:43.061,-38712.662390,-13862.151531,-7138.767147
7 Jan 2027 14:02:56.041,-36825.615046,-14552.089107,-7486.237177
7 Jan 2027 14:16:15.199,-34909.624894,-15140.025039,-7781.701453
7 Jan 2027 14:28:42.834,-32979.896274,-15630.543940,-8027.525838
7 Jan 2027 14:40:21.384,-31049.684471,-16028.600526,-8226.260667
7 Jan 2027 14:51:13.351,-29130.480135,-16339.362434,-8380.561078
7 Jan 2027 15:01:21.270,-27232.115728,-16568.100654,-8493.131431
7 Jan 2027 15:10:47.212,-25364.469397,-16719.993622,-8566.629054
7 Jan 2027 15:19:22.482,-23574.597290,-16799.368047,-8603.354348
7 Jan 2027 15:27:11.527,-21866.631132,-16815.606238,-8608.093818
7 Jan 2027 15:34:18.685,-20242.133096,-16777.325837,-8585.239274
7 Jan 2027 15:40:50.476,-18691.019088,-16691.585166,-8538.364339
7 Jan 2027 15:46:58.692,-17177.094792,-16560.860458,-8468.654991
7 Jan 2027 15:52:44.624,-15702.720256,-16387.837859,-8377.483805
7 Jan 2027 15:58:09.522,-14269.863505,-16175.098226,-8266.168905
7 Jan 2027 16:03:14.640,-12879.922719,-15925.066390,-8135.947755
7 Jan 2027 16:08:01.222,-11533.791356,-15639.976110,-7987.959441
7 Jan 2027 16:12:30.507,-10231.844446,-15321.819507,-7823.218875
7 Jan 2027 16:16:43.710,-8974.045373,-14972.320128,-7642.603293
7 Jan 2027 16:20:42.038,-7759.892123,-14592.863629,-7446.816828
7 Jan 2027 16:24:26.694,-6588.421739,-14184.424645,-7236.353250
7 Jan 2027 16:27:58.897,-5458.136523,-13747.443622,-7011.433057
7 Jan 2027 16:31:19.924,-4366.812923,-13281.606067,-6771.890606
7 Jan 2027 16:34:29.090,-3322.778961,-12791.177736,-6519.915069
7 Jan 2027 16:37:23.922,-2344.707526,-12287.295583,-6261.217277
7 Jan 2027 16:40:02.635,-1447.772766,-11782.616373,-6002.275457
7 Jan 2027 16:42:09.442,-726.621264,-11343.503097,-5777.091990
7 Jan 2027 16:44:00.127,-95.284019,-10931.639188,-5565.971299
7 Jan 2027 16:45:22.256,373.409868,-10607.464310,-5399.855237
7 Jan 2027 16:46:44.519,842.260418,-10265.826813,-5224.839834
7 Jan 2027 16:48:18.553,1376.316651,-9853.220967,-5013.531002
7 Jan 2027 16:49:58.800,1941.719315,-9385.645051,-4774.147077
7 Jan 2027 16:51:40.835,2510.637580,-8878.261398,-4514.468493
7 Jan 2027 16:53:22.422,3067.454834,-8339.333364,-4238.736056
7 Jan 2027 16:54:59.988,3589.772207,-7787.924039,-3956.707709
7 Jan 2027 16:56:31.551,4065.268536,-7238.578532,-3675.819730
7 Jan 2027 16:57:57.750,4496.346938,-6691.919419,-3396.384786
7 Jan 2027 16:59:19.335,4886.052945,-6147.287181,-3118.061122
7 Jan 2027 17:00:36.972,5236.962354,-5603.926860,-2840.459484
7 Jan 2027 17:00:48.397,5286.746997,-5521.889280,-2798.552776
7 Jan 2027 17:01:48.397,5539.610621,-5082.213119,-2573.982865
7 Jan 2027 17:02:59.956,5820.464048,-4538.557454,-2296.366188
7 Jan 2027 17:04:09.705,6069.619633,-3989.040791,-2015.825578
7 Jan 2027 17:05:18.214,6287.723549,-3431.409657,-1731.213069
7 Jan 2027 17:06:26.245,6475.324397,-2861.501966,-1440.408749
7 Jan 2027 17:07:32.134,6626.923267,-2295.891963,-1151.872564
7 Jan 2027 17:08:35.951,6743.384696,-1737.228439,-866.955206
7 Jan 2027 17:09:38.026,6826.328647,-1185.705854,-585.755170
7 Jan 2027 17:10:38.743,6877.318460,-640.740410,-307.974502
7 Jan 2027 17:11:38.546,6897.663850,-100.936276,-32.902032
7 Jan 2027 17:12:28.605,6891.662419,351.539586,197.608336
7 Jan 2027 17:13:19.855,6863.825762,813.843412,433.065446
7 Jan 2027 17:14:16.966,6807.308291,1326.145911,693.914039
7 Jan 2027 17:15:15.244,6722.657558,1843.889561,957.451647
7 Jan 2027 17:16:15.541,6607.537129,2372.256810,1226.309084
7 Jan 2027 17:17:18.933,6457.938595,2917.746899,1503.782852
7 Jan 2027 17:18:24.480,6274.572078,3469.129606,1784.150464
7 Jan 2027 17:19:32.586,6055.737074,4026.730542,2067.569977
7 Jan 2027 17:20:43.488,5800.284209,4589.240962,2353.368613
7 Jan 2027 17:21:55.228,5516.348701,5138.720086,2632.429386
7 Jan 2027 17:23:06.483,5212.133007,5664.319190,2899.250288
7 Jan 2027 17:24:18.707,4884.238527,6176.365128,3159.081845
7 Jan 2027 17:25:32.806,4530.338645,6680.176554,3414.626197
7 Jan 2027 17:25:48.397,4453.880944,6783.439217,3466.989659
7 Jan 2027 17:26:48.397,4153.969621,7171.983475,3663.973951
7 Jan 2027 17:28:06.049,3754.087483,7654.365418,3908.436107
7 Jan 2027 17:29:29.426,3312.575082,8147.515490,4158.241426
7 Jan 2027 17:30:57.035,2837.918472,8639.306104,4407.238623
7 Jan 2027 17:32:29.494,2327.866621,9130.571814,4655.845532
7 Jan 2027 17:34:07.374,1780.471205,9621.472896,4904.137502
7 Jan 2027 17:35:48.896,1207.216091,10101.051144,5146.569940
7 Jan 2027 17:37:31.955,621.831350,10559.246005,5378.063483
7 Jan 2027 17:39:15.064,34.554795,10990.877006,5596.013688
7 Jan 2027 17:40:27.972,-380.844577,11280.981878,5742.430405
7 Jan 2027 17:41:40.705,-794.856755,11558.661231,5882.520182
7 Jan 2027 17:43:21.711,-1368.476478,11925.971995,6067.741153
7 Jan 2027 17:45:16.169,-2015.707291,12318.175831,6265.397344
7 Jan 2027 17:47:23.944,-2733.664754,12728.183900,6471.886869
7 Jan 2027 17:49:44.329,-3515.797882,13147.638379,6682.973767
7 Jan 2027 17:52:17.437,-4359.783652,13571.383733,6896.039583
7 Jan 2027 17:55:03.686,-5264.596362,13995.388200,7109.034166
7 Jan 2027 17:58:03.717,-6230.018644,14416.286269,7320.244173
7 Jan 2027 18:01:18.341,-7256.309878,14831.085054,7528.144576
7 Jan 2027 18:04:48.514,-8344.025031,15236.993938,7731.312457
7 Jan 2027 18:08:35.319,-9493.869279,15631.303622,7928.365864
7 Jan 2027 18:12:38.995,-10701.885156,16009.898161,8117.221776
7 Jan 2027 18:16:59.341,-11961.907633,16368.557425,8295.751415
7 Jan 2027 18:21:36.915,-13271.475474,16704.643162,8462.619534
7 Jan 2027 18:26:10.585,-14529.618669,16994.369804,8606.044229
7 Jan 2027 18:31:21.891,-15922.503736,17279.233832,8746.548405
7 Jan 2027 18:36:52.615,-17359.549514,17535.496700,8872.339850
7 Jan 2027 18:42:44.262,-18841.495837,17761.486956,8982.565158
7 Jan 2027 18:48:58.343,-20368.503244,17955.244839,9076.225980
7 Jan 2027 18:55:36.454,-21940.457930,18114.599861,9152.217539
7 Jan 2027 19:02:40.254,-23556.835979,18237.167617,9209.327449
7 Jan 2027 19:10:11.474,-25216.697413,18320.366430,9246.244218
7 Jan 2027 19:18:11.917,-26918.641387,18361.428584,9261.563117
7 Jan 2027 19:26:43.475,-28660.817299,18357.411564,9253.791873
7 Jan 2027 19:35:48.116,-30440.824502,18305.205634,9221.354855
7 Jan 2027 19:45:35.493,-32278.951505,18199.882762,9161.675855
7 Jan 2027 19:56:14.638,-34188.502177,18034.237455,9071.041787
7 Jan 2027 20:07:45.210,-36151.815937,17802.601344,8946.624158
7 Jan 2027 20:20:02.622,-38140.493590,17502.180709,8787.093748
7 Jan 2027 20:33:09.909,-40147.969086,17128.360902,8590.122236
7 Jan 2027 20:47:10.042,-42165.999626,16676.482052,8353.363786
7 Jan 2027 21:02:06.065,-44184.971504,16141.840618,8074.454832
7 Jan 2027 21:18:01.097,-46193.796695,15519.733337,7751.036801
7 Jan 2027 21:34:58.304,-48179.734427,14805.526699,7380.792079
