"Time (UTCG)","x (km)","y (km)","z (km)"
26 Jan 2027 17:37:09.829,16776.836890,-6015.644031,-3412.165191
26 Jan 2027 17:41:26.461,17051.373634,-4587.232742,-2579.032398
26 Jan 2027 17:45:36.307,17243.080081,-3176.251410,-1756.488882
26 Jan 2027 17:49:39.047,17354.335434,-1791.558455,-949.681058
26 Jan 2027 17:53:36.598,17389.323914,-428.814487,-156.061474
26 Jan 2027 17:57:31.049,17351.078403,917.958484,627.865273
26 Jan 2027 18:01:20.174,17243.887464,2230.488288,1391.482273
26 Jan 2027 18:05:11.284,17066.964741,3545.487653,2156.159259
26 Jan 2027 18:09:06.620,16817.977830,4870.225051,2926.114254
26 Jan 2027 18:13:10.009,16490.755319,6220.076285,3710.264787
26 Jan 2027 18:17:20.945,16083.705693,7585.488688,4503.039061
26 Jan 2027 18:21:41.314,15592.324826,8969.657572,5306.271796
26 Jan 2027 18:26:12.524,15012.672331,10372.437808,6119.855917
26 Jan 2027 18:30:52.987,14348.380379,11778.283121,6934.758748
26 Jan 2027 18:35:27.144,13643.053890,13106.742989,7704.377087
26 Jan 2027 18:40:02.918,12885.155879,14396.626784,8451.244027
26 Jan 2027 18:44:44.808,12067.396662,15667.078899,9186.466136
26 Jan 2027 18:49:35.896,11184.269828,16928.810403,9916.249535
26 Jan 2027 18:54:38.767,10230.592453,18188.976717,10644.731894
26 Jan 2027 18:59:55.820,9201.105671,19452.795081,11374.921997
26 Jan 2027 19:05:29.408,8090.347888,20724.240111,12109.104030
26 Jan 2027 19:11:21.907,6892.644997,22006.368342,12849.026491
26 Jan 2027 19:17:35.749,5602.166113,23301.470835,13595.991353
26 Jan 2027 19:24:11.328,4220.411728,24604.382544,14346.999690
26 Jan 2027 19:30:57.045,2791.732774,25873.915830,15078.314535
26 Jan 2027 19:37:49.812,1331.256721,27101.473609,15785.013798
26 Jan 2027 19:44:42.762,-132.863050,28270.003054,16457.323768
26 Jan 2027 19:49:54.629,-1238.604464,29115.853042,16943.728155
26 Jan 2027 19:55:05.868,-2340.885842,29930.610128,17412.047911
26 Jan 2027 20:02:11.706,-3845.392967,31000.875833,18026.921973
26 Jan 2027 20:10:10.099,-5528.481211,32146.404059,18684.634356
26 Jan 2027 20:19:03.123,-7392.570845,33357.878280,19379.747426
26 Jan 2027 20:28:49.181,-9426.187745,34618.093839,20102.307241
26 Jan 2027 20:39:29.569,-11627.132498,35917.376250,20846.693215
26 Jan 2027 20:51:06.769,-13996.419265,37248.833897,21608.887382
26 Jan 2027 21:03:44.165,-16537.208130,38607.293226,22385.860293
26 Jan 2027 21:17:25.866,-19254.100778,39988.619182,23175.179202
26 Jan 2027 21:32:16.655,-22152.855767,41389.368105,23974.807532
26 Jan 2027 21:48:21.940,-25240.101887,42806.500961,24782.939467
26 Jan 2027 22:05:47.809,-28523.376135,44237.289298,25597.944972
26 Jan 2027 22:24:36.791,-31998.050590,45673.947095,26415.316116
26 Jan 2027 22:44:48.063,-35649.153125,47105.604015,27228.805938
26 Jan 2027 23:06:26.523,-39479.047376,48529.251897,28036.649694
26 Jan 2027 23:30:12.144,-43589.336317,49975.958785,28856.377319
26 Jan 2027 23:55:10.660,-47809.241884,51381.254588,29651.390293
27 Jan 2027 00:21:05.944,-52086.743112,52729.762074,30413.020764
27 Jan 2027 00:49:59.871,-56740.675597,54116.892162,31195.066308
27 Jan 2027 01:21:06.916,-61625.563605,55489.968184,31967.655132
27 Jan 2027 01:54:40.397,-66757.082471,56847.771818,32729.989889
27 Jan 2027 02:30:53.443,-72147.845591,58187.578313,33480.412442
27 Jan 2027 03:10:00.432,-77810.993677,59506.223191,34217.005057
27 Jan 2027 03:52:17.070,-83760.070500,60800.037840,34937.553417
27 Jan 2027 04:37:55.299,-89997.273482,62062.524603,35638.257499
27 Jan 2027 05:27:09.934,-96529.306140,63288.039505,36315.788329
27 Jan 2027 06:20:18.676,-103366.579889,64471.292614,36967.001135
27 Jan 2027 07:17:40.559,-110519.228760,65606.445439,37588.431415
27 Jan 2027 08:19:36.078,-117997.086135,66687.094690,38176.285196
27 Jan 2027 09:26:27.371,-125809.727738,67706.257717,38726.429816
27 Jan 2027 10:38:38.278,-133966.229619,68656.313670,39234.360407
27 Jan 2027 11:56:34.436,-142474.981212,69528.959464,39695.174609
27 Jan 2027 13:20:43.518,-151343.723278,70315.187334,40103.558503
27 Jan 2027 14:51:35.205,-160579.063661,71005.209701,40453.744661
27 Jan 2027 16:29:41.433,-170186.454775,71588.433290,40739.496249
27 Jan 2027 18:15:36.572,-180169.983554,72053.409474,40954.078265
27 Jan 2027 20:09:57.428,-190531.840684,72387.773561,41090.224148
27 Jan 2027 22:13:23.575,-201272.261341,72578.211484,41140.115777
28 Jan 2027 00:26:37.270,-212388.778606,72610.408656,41095.357133
28 Jan 2027 02:50:23.774,-223876.031472,72469.025759,40946.960776
28 Jan 2027 05:25:31.382,-235725.087850,72137.677700,40685.339268
28 Jan 2027 08:12:51.423,-247922.707593,71598.944070,40300.315672
28 Jan 2027 11:13:18.467,-260450.819903,70834.397874,39781.143763
28 Jan 2027 14:27:50.561,-273285.936137,69824.648237,39116.536808
28 Jan 2027 17:57:29.526,-286398.514353,68549.395667,38294.703655
28 Jan 2027 21:43:21.821,-299752.729126,66987.436625,37303.352015
29 Jan 2027 01:46:39.754,-313306.212310,65116.601507,36129.651580
29 Jan 2027 06:08:42.052,-327008.776674,62913.756534,34760.238643
29 Jan 2027 10:50:51.755,-340798.750152,60355.256385,33181.496659
29 Jan 2027 15:54:38.447,-354603.066979,57416.875404,31379.507751
29 Jan 2027 21:21:36.029,-368333.427061,54074.451198,29340.442400
30 Jan 2027 03:13:13.133,-381878.484122,50306.064061,27051.871735
30 Jan 2027 09:31:11.685,-395114.730383,46089.355323,24501.120016
30 Jan 2027 16:16:52.031,-407884.031199,41408.570335,21679.514320
30 Jan 2027 23:32:06.321,-420021.583891,36245.218567,18576.728931
31 Jan 2027 07:18:02.129,-431315.535807,30593.709888,15190.188595
31 Jan 2027 15:28:21.158,-441392.781480,24546.162664,11575.623876
31 Jan 2027 23:46:54.471,-449817.899112,18327.512046,7867.372096
1 Feb 2027 08:10:08.547,-456525.395674,12012.071290,4109.229712
1 Feb 2027 16:30:58.359,-461459.603056,5717.486954,370.597137
1 Feb 2027 22:45:12.980,-464035.598185,1023.577857,-2413.008477
2 Feb 2027 04:57:42.519,-465668.570115,-3628.815237,-5168.494249
2 Feb 2027 11:59:37.720,-466405.845561,-8862.822197,-8264.356454
2 Feb 2027 17:07:53.826,-466200.827363,-12655.452217,-10504.943353

