rx (km),ry (km),rz (km),vx (km/sec),vy (km/sec),vz (km/sec),mass (kg),time (sec)
2007.4598701376501,-6241.092922700872,0.0,9.97806885248889,3.2094655617102266,0.0,285.0,3.6795446268108744e-16
2589.7338487065485,-6036.9308871079365,4.2938068140912566e-35,9.786891136206403,3.7201284861571966,1.2567348620767709e-38,285.0,58.89635065548574
3159.3984022574355,-5803.36006233629,4.0889476592506717e-35,9.550650078933307,4.206834625399965,9.105137678322363e-39,285.0,117.79270131097148
3713.9509197173734,-5542.006858017225,3.9668984480399425e-35,9.274729720863979,4.66250422233668,5.813571361996511e-39,285.0,176.68905196645724
4251.2435662306525,-5254.869472573698,4.140459590341514e-35,8.965707624596693,5.081643434926688,2.6674370342304076e-39,285.0,235.58540262194296
4769.537863899238,-4944.217408938165,4.0326451439968756e-35,8.630815139244994,5.4605500973762835,-5.952218240889947e-40,285.0,294.4817532774287
5267.527241707345,-4612.484897729469,4.020700670771217e-35,8.277403177115305,5.797317791433779,-3.432523399321753e-39,285.0,353.3781039329145
5744.3300961978875,-4262.169252014421,4.072344647408977e-35,7.912484753289035,6.091672369959816,-6.185871629020553e-39,285.0,412.2744545884002
6199.459294135735,-3895.7424365733336,4.3584721955232074e-35,7.542396935970601,6.344696863207948,-8.797756531050141e-39,285.0,471.1708052438859
6632.775648416929,-3515.5806380130225,4.119806429595846e-35,7.172594420110504,6.5585048537720025,-1.150474354410169e-38,285.0,530.0671558993716
7044.432868656944,-3123.913305248203,4.809057077772456e-35,6.807563032978236,6.735913181958243,-1.3884965065456386e-38,285.0,588.9635065548574
7434.820341324664,-2722.790584795441,4.2817894272634874e-35,6.450827656831795,6.880149003328329,-1.5727438451539304e-38,285.0,647.8598572103432
7804.5084226971085,-2314.066504956439,3.969259495391927e-35,6.105024697058346,6.994609792683784,-1.760167442924372e-38,285.0,706.756207865829
8154.199211250292,-1899.3945803200872,3.2589625694133934e-35,5.772011500308299,7.0826815738632805,-1.899293235528247e-38,285.0,765.6525585213146
8484.684298713288,-1480.2324805626627,3.632914916968268e-35,5.452990816855142,7.147611778906824,-2.0313018208201799e-38,285.0,824.5489091768004
8796.809902647721,-1057.8527766946077,2.3329586661756055e-35,5.148634971761475,7.19242841290933,-2.1272659114464668e-38,285.0,883.4452598322861
9091.449060068766,-633.3573280780006,3.683775313280055e-35,4.859200331563469,7.219895584246496,-2.22416343434754e-38,285.0,942.3416104877718
9369.480150048574,-207.6934560623191,3.1388246299237653e-35,4.584627264739941,7.23249579669072,-2.2913955466471463e-38,285.0,1001.2379611432577
9631.770831471284,218.3294206385233,1.818039852983528e-35,4.3246240024123335,7.232430736771691,-2.3341228807309212e-38,285.0,1060.1343117987433
9879.166452461946,644.0235758274721,1.3188131714813685e-35,4.078734809148087,7.221633971730441,-2.4381890081477724e-38,285.0,1119.030662454229
10112.482048126218,1068.8077393163105,-7.612579973417464e-36,3.846393969315697,7.2017906163545815,-2.4451441694861176e-38,285.0,1177.9270131097148
10332.49714832026,1492.1931344343923,-1.6042817926401237e-35,3.6269675699957746,7.174360445070568,-2.3896299477443535e-38,285.0,1236.8233637652008
10539.952737888932,1913.7709172068062,4.3701673696637754e-35,3.419785150377564,7.140602058459671,-2.41593244616841e-38,285.0,1295.7197144206864
10735.549830688951,2333.2010305239214,6.818560123880564e-35,3.2241631593414914,7.101596569194172,-2.455364766746893e-38,285.0,1354.616065076172
10919.949226540588,2750.202415478956,5.674210353668354e-35,3.039421930737619,7.0582698907234205,-2.5621238286849555e-38,285.0,1413.512415731658
11093.77211314546,3164.544481510361,4.3764376299121435e-36,2.864897619723147,7.011413141386802,-2.573560700084989e-38,285.0,1472.4087663871433
11257.601252258228,3576.039717320596,2.8591019119214715e-36,2.699950283129239,6.961700963202689,-2.578565675965149e-38,285.0,1531.3051170426293
11411.98255200643,3984.5373185356584,-5.782722887983284e-36,2.543969052124727,6.909707737497166,-2.5742409080569826e-38,285.0,1590.201467698115
11557.426877007754,4389.917710552391,-5.545783325207272e-35,2.396375144270351,6.855921789673265,-2.535420926432083e-38,285.0,1649.0978183536008
