"TIME HISTORY","FOR SEGMENT","2","","","","","","","",""
"PRM500","","","","","","","","","",""
"","","","","","","","","","",""
"EPHEMERIS TIME (s)","JULIAN DATE (day)","SIM TIME (day)","SEG TIME (day)","Rx(km)[J2000-EARTH]","Ry(km)[J2000-EARTH]","Rz(km)[J2000-EARTH]","Vx(km/s)[J2000-EARTH]","Vy(km/s)[J2000-EARTH]","Vz(km/s)[J2000-EARTH]","MASS (kg)"
"","","","","","","","","","",""
" 1.89338675676312014E+04"," 2.45154521914198576E+06"," 2.19141985736472228E-01"," 0.00000000000000000E+00","-4.21641291889524873E+04","-1.58039013381702631E+01","-6.38519061113060271E+00"," 2.39507793099801155E-03","-1.47961120171640692E+00","-5.97801729532900006E-01"," 2.29199999999999989E+02"
" 1.89338696812381531E+04"," 2.45154521914200997E+06"," 2.19142010199515652E-01"," 2.44630434242942840E-08","-4.21641291838892357E+04","-1.58070286550887324E+01","-6.38645412918245636E+00"," 2.39554912748189512E-03","-1.47961138957779248E+00","-5.97801805573287104E-01"," 2.29199977633894292E+02"
" 1.89338717948451049E+04"," 2.45154521914203465E+06"," 2.19142034662559076E-01"," 4.89260868485885680E-08","-4.21641291788249873E+04","-1.58101559724042673E+01","-6.38771764739502945E+00"," 2.39602032402541241E-03","-1.47961157743916183E+00","-5.97801881613667763E-01"," 2.29199955267788596E+02"
" 1.89393128905517224E+04"," 2.45154521920501022E+06"," 2.19205010307311599E-01"," 6.30245708393706305E-05","-4.21641128412608887E+04","-2.38621797262655733E+01","-9.64094739370637654E+00"," 3.60922758044679264E-03","-1.48009513893763400E+00","-5.97997612328141637E-01"," 2.29142377806852352E+02"
" 1.89447539862583399E+04"," 2.45154521926798578E+06"," 2.19267985952064121E-01"," 1.26000215591892673E-04","-4.21640899014444512E+04","-3.19168342942768177E+01","-1.28952420132347871E+01"," 4.82283032962610003E-03","-1.48057859360354849E+00","-5.98193300222403690E-01"," 2.29084800345916108E+02"
" 1.89501950819649574E+04"," 2.45154521933096182E+06"," 2.19330961596816615E-01"," 1.88975860344386959E-04","-4.21640603572227337E+04","-3.99741190941522433E+01","-1.61506012725880552E+01"," 6.03682886909071709E-03","-1.48106194114290601E+00","-5.98388945177823373E-01"," 2.29027222884979864E+02"
" 1.89863328623575399E+04"," 2.45154521974922298E+06"," 2.19749222943952993E-01"," 6.07237207480765262E-04","-4.21636963860491669E+04","-9.35543812367577203E+01","-3.77985146490694817E+01"," 1.41098307198637800E-02","-1.48426942054071320E+00","-5.99687249838598113E-01"," 2.28644814313054525E+02"
" 1.90224706427501224E+04"," 2.45154522016748413E+06"," 2.20167484291089371E-01"," 1.02549855461714357E-03","-4.21630403535062942E+04","-1.47250466535444332E+02","-5.94933105855414510E+01"," 2.22003916711783107E-02","-1.48747207461708641E+00","-6.00983620129149521E-01"," 2.28262405741129186E+02"
" 1.90586084231427049E+04"," 2.45154522058574576E+06"," 2.20585745638225750E-01"," 1.44375990175352187E-03","-4.21620916274843330E+04","-2.01062200163000057E+02","-8.12349189933762261E+01"," 3.03085971817979166E-02","-1.49066981740771909E+00","-6.02278021361985494E-01"," 2.27879997169203847E+02"
" 1.90947462035352873E+04"," 2.45154522100400692E+06"," 2.21004006985362100E-01"," 1.86202124888987242E-03","-4.21608495688032126E+04","-2.54989403072161423E+02","-1.03023268083985499E+02"," 3.84345325931556084E-02","-1.49386256219734337E+00","-6.03570418546372278E-01"," 2.27497588597278508E+02"
" 1.92193758974826414E+04"," 2.45154522244648030E+06"," 2.22446480294937965E-01"," 3.30449455846573703E-03","-4.21543068287208444E+04","-4.41853362662492032E+02","-1.78523080931408686E+02"," 6.65959306219220393E-02","-1.50483394503184442E+00","-6.08011693375233642E-01"," 2.26178762073785521E+02"
" 1.92633606912061914E+04"," 2.45154522295556357E+06"," 2.22955563555627206E-01"," 3.81357781915497851E-03","-4.21511580136232806E+04","-5.08128026623780102E+02","-2.05300700034749696E+02"," 7.65859859694701384E-02","-1.50869089862172290E+00","-6.09573064561436451E-01"," 2.25713316715173875E+02"
